A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/4/2017 2:00,2017,1,4,2,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 3:00,2017,1,4,3,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 4:00,2017,1,4,4,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 5:00,2017,1,4,5,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 6:00,2017,1,4,6,46,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 7:00,2017,1,4,7,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 8:00,2017,1,4,8,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 9:00,2017,1,4,9,70,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 10:00,2017,1,4,10,76,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 11:00,2017,1,4,11,87,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 12:00,2017,1,4,12,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 13:00,2017,1,4,13,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 14:00,2017,1,4,14,70,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 15:00,2017,1,4,15,74,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 16:00,2017,1,4,16,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 17:00,2017,1,4,17,83,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 18:00,2017,1,4,18,104,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 19:00,2017,1,4,19,124,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 20:00,2017,1,4,20,138,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 21:00,2017,1,4,21,170,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 22:00,2017,1,4,22,179,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 23:00,2017,1,4,23,172,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 0:00,2017,1,5,0,164,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 1:00,2017,1,5,1,159,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 2:00,2017,1,5,2,161,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 3:00,2017,1,5,3,173,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 4:00,2017,1,5,4,185,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 5:00,2017,1,5,5,152,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 6:00,2017,1,5,6,157,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 7:00,2017,1,5,7,165,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 8:00,2017,1,5,8,144,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 9:00,2017,1,5,9,140,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 10:00,2017,1,5,10,161,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 11:00,2017,1,5,11,171,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 12:00,2017,1,5,12,180,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 13:00,2017,1,5,13,163,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 14:00,2017,1,5,14,164,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 15:00,2017,1,5,15,238,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 16:00,2017,1,5,16,210,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 17:00,2017,1,5,17,170,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 18:00,2017,1,5,18,164,µg/m³,1 Hr,Valid
