A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/4/2017 18:00,2017,1,4,18,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 19:00,2017,1,4,19,62,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 20:00,2017,1,4,20,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 21:00,2017,1,4,21,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 22:00,2017,1,4,22,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 23:00,2017,1,4,23,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 0:00,2017,1,5,0,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 1:00,2017,1,5,1,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 2:00,2017,1,5,2,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 3:00,2017,1,5,3,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 4:00,2017,1,5,4,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 5:00,2017,1,5,5,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 6:00,2017,1,5,6,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 7:00,2017,1,5,7,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 8:00,2017,1,5,8,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 9:00,2017,1,5,9,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 10:00,2017,1,5,10,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 11:00,2017,1,5,11,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 12:00,2017,1,5,12,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 13:00,2017,1,5,13,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 14:00,2017,1,5,14,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 15:00,2017,1,5,15,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 16:00,2017,1,5,16,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 17:00,2017,1,5,17,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 18:00,2017,1,5,18,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 19:00,2017,1,5,19,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 20:00,2017,1,5,20,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 21:00,2017,1,5,21,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 22:00,2017,1,5,22,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2017 23:00,2017,1,5,23,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 0:00,2017,1,6,0,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 1:00,2017,1,6,1,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 2:00,2017,1,6,2,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 3:00,2017,1,6,3,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 4:00,2017,1,6,4,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 5:00,2017,1,6,5,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 6:00,2017,1,6,6,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 7:00,2017,1,6,7,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 8:00,2017,1,6,8,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 9:00,2017,1,6,9,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 10:00,2017,1,6,10,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 11:00,2017,1,6,11,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2017 12:00,2017,1,6,12,24,µg/m³,1 Hr,Valid
